User;Role;h-index;Followers/Following;log_followers;Ratio RT_in;Ratio_RT_out;Ratio Reply_out;Frequency;Ratio multimedia;Ratio URL;Ratio HT
x310_;Monologista;3;2,070707071;2;0,116161616;0,325383305;0,400340716;7,723684211;0,137989779;0,250425894;0,051107325
ruttonxori;Monologista;4;2,040229885;2;0,070745698;0,088320744;0,492155723;1,862554113;0,046484602;0,072051133;0,182452063
MarinaLopezYap;Networker;8;2,023809524;2;0,687626775;0,50551655;0,066198596;2,39088729;0,186559679;0,44332999;0,928786359
GEMF_RSEF;Altavoz bajo;34;1,992419021;3;6,842609216;0,487423313;0,061349693;4,630681818;0,054294479;0,507361963;0,412576687
Elena_in_code;Networker;13;1,969974979;3;1,250737463;0,120242215;0,584775087;2,214559387;0,203287197;0,301903114;0,500865052
mranera;Retuiteador;11;1,961882219;4;1,714285714;0,66840972;0,007689942;3,533695652;0,115349123;0,465087665;1,015995078
Mrs_DarkDonado;Networker;7;1,91775326;3;9,597484277;0,205;0,375;3,278688525;0,1;0,325;0,04
chumillas;Networker;11;1,896296296;3;1,135883905;0,571024335;0,229767968;2,256704981;0,12450481;0,24844369;0,271080928
doctoraw;Monologista;10;1,88973384;2;0,226885022;0,09648582;0,551479655;1,899297424;0,126078915;0,260480888;0,099260173
mcberros;Monologista;3;1,87962963;2;0,119808307;0,556657224;0,26203966;2,923395445;0,026203966;0,297450425;0,304532578
MacarenaEstevez;Networker;9;1,872257053;3;0,935460993;0,124495498;0,056814654;2,648848684;0,142812791;0,616578702;0,511642347
_evamprz_;Retuiteador;6;1,861386139;2;2,883333333;0,853300733;0,046454768;1,487272727;0,158924205;0,237163814;0,992665037
ilthea;Monologista;3;1,82103321;2;0,089272858;0,463913547;0,452335006;74,02857143;0,079505982;0,179853338;0,077190274
fatimacasau;Networker;7;1,803278689;2;0,54707113;0,444831591;0,153890825;2,213367609;0,076074332;0,332752613;0,819396051
_mariabg;Monologista;10;1,785046729;3;0,277567976;0,176104543;0,456129434;2,770689655;0,163658992;0,255756067;0,07840697
ejoana;Networker;12;1,732857143;4;1,58360503;0,341411043;0,010122699;3,721461187;0,114110429;0,620245399;0,847239264
InnovadorasTIC;Networker;13;1,680357143;2;1,746180964;0,248233216;0,017667845;1,955094991;0,060070671;0,794169611;1,385159011
azahara_fergui;Networker;9;1,670017953;3;0,304806565;0,051695386;0,575875486;12,94244604;0,011673152;0,487493052;0,095052807
lamujeresponja;Networker;9;1,601156069;2;0,349975037;0,377563704;0,30919826;4,256613757;0,108452455;0,379117464;0,344313238
LaYoEl;Retuiteador;8;1,59752322;2;1,73540856;0,677540778;0,154328733;2,665551839;0,077791719;0,405269762;0,510664994
mirenna2;Retuiteador;4;1,588921283;2;0,315352697;0,691025641;0,1;1,945137157;0,066666667;0,179487179;0,861538462
gmiritello;Networker;12;1,586644125;3;0,853988604;0,562753036;0,305512301;2,967652495;0,095608845;0,325443787;0,398006851
alagunapradas;Networker;6;1,577235772;2;0,807017544;0,43;0,09;1,333333333;0,01;0,565;0,29
leymarta;Networker;22;1,57410662;3;1,616229408;0,49162531;0,288151365;2,917647059;0,051488834;0,370037221;0,181141439
sereingeniera;Networker;15;1,569664903;2;2,763076923;0,558423913;0,039402174;3,370992366;0,058876812;0,501358696;0,613677536
RosanaFerrero;Retuiteador;8;1,561904762;2;1,268892794;0,683713174;0,04446915;3,033726813;0,070038911;0,504724847;0,652584769
E2Clince;Monologista;4;1,557377049;3;0,137046861;0,592138478;0,200865489;9,595155709;0,158672917;0,254958529;0,226469528
sagilca;Retuiteador;13;1,547509714;3;0,754208754;0,725761773;0,188365651;17,37433155;0,075407818;0,209910742;0,139735303
kpeiro;Retuiteador;18;1,537108301;3;2,694277108;0,795880725;0,046111282;6,267822736;0,026744543;0,264986167;0,499231479
ostraperlera;Altavoz bajo;22;1,515192438;3;4,168674699;0,239166667;0,283333333;7,228915663;0,030833333;0,6375;0,078333333
esthernandez24;Monologista;1;1,507692308;1;0,135135135;0,486111111;0,375;1,285714286;0,263888889;0,111111111;0,472222222
patriciagao;Networker;8;1,501457726;2;0,894409938;0,195;0,47;1,470588235;0,125;0,3425;0,11
arago_la;Altavoz bajo;17;1,485651214;3;4,038575668;0,382783883;0,203296703;1,772727273;0,087912088;0,492673993;0,223443223
mariamedp;Networker;12;1,481646274;3;1,618794326;0,442136499;0,333333333;1,872222222;0,118694362;0,31355094;0,470820969
nimbusaeta;Networker;5;1,465076661;3;0,476673428;0,178333333;0,485;6,52173913;0,045;0,291666667;0,055
guetalon;Monologista;2;1,394736842;1;0,043047996;0,113596491;0,54122807;3,992994746;0,022368421;0,111842105;0,129385965
finuka;Monologista;8;1,394230769;2;0,289951306;0,294283037;0,317713215;2,209109731;0,096844736;0,288972196;0,402999063
ChemistredPuck;Altavoz bajo;23;1,394202899;3;5,355212355;0,761802575;0,087676272;11,81884058;0,043531576;0,225935009;0,744941754
zmencay;Networker;7;1,319321534;3;0,434285714;0,292929293;0,460606061;2,049689441;0,104040404;0,213131313;0,428282828
beagj;Networker;6;1,312056738;2;1,703703704;0,598513011;0,141263941;1,713375796;0,115241636;0,345724907;0,672862454
gmamenl;Monologista;5;1,282178218;2;0,209260373;0,479010025;0,277882206;3,188811189;0,028822055;0,351190476;0,545426065
ansalort;Networker;7;1,271604938;2;0,532374101;0,277068558;0,030732861;2,657035176;0,088416076;0,807565012;1,226477541
aniigoma;Monologista;5;1,237704918;2;0,256521739;0,326829268;0,210731707;1,637380192;0,086829268;0,224390244;0,266341463
aidaispro;Replicador;4;1,228252195;3;0,225806452;0,225;0,66;5,128205128;0,0625;0,27;0,1025
NataliaMartos;Networker;9;1,22345679;3;0,838263359;0,349270413;0,087860913;2,112131148;0,043775225;0,559764048;0,478112387
nyan_dev;Networker;18;1,216435185;3;0,800783162;0,070941337;0,455661664;4,328740157;0,128694861;0,368804002;0,074124602
_musicalnote;Normal;4;1,202995008;2;0,373134328;0,541880342;0,138461538;1,735905045;0,136752137;0,28034188;0,246153846
malglam;Monologista;1;1,190184049;2;0,053763441;0,532663317;0,281407035;1,617886179;0,135678392;0,24120603;0,130653266
Terceranexus6;Networker;22;1,186931958;3;1,944008959;0,448254557;0,28544949;4,53997195;0,210071053;0,273710226;0,175780043
evamirandag;Networker;6;1,185800604;2;0,34;0,391117479;0,406160458;7,270833333;0,128223496;0,272922636;0,097421203
TereBouza;Networker;6;1,173611111;3;0,421496312;0,325035562;0,391891892;3,471604938;0,1685633;0,347083926;0,642958748
MariaJesusRuizS;Networker;7;1,169014085;2;0,545943041;0,398318784;0,141933398;2,853321033;0,142580019;0,151309408;0,485935984
smorcuende;Networker;9;1,164246824;3;2,693976684;0,053051211;0,431156087;5,184419714;0,063784115;0,606869059;0,201471941
_beademiguel;Retuiteador;5;1,157676349;2;1,657894737;0,654545455;0,109090909;1,235955056;0,209090909;0,336363636;0,390909091
doublebyte;Networker;10;1,153465347;2;0,673816568;0,321965898;0,209127382;2,181619256;0,172517553;0,487963892;1,241223671
malakatonez;Networker;9;1,145595855;3;0,305738064;0,284101599;0,441831295;9,137535817;0,19190969;0,295390405;0,096268423
cristinafsanz;Normal;10;1,139500734;3;0,432172869;0,480673317;0,434538653;4,629148629;0,066396509;0,214775561;0,2590399
bberrycarmen;Networker;9;1,138681592;3;0,770334928;0,476846058;0,370463079;3,315352697;0,035043805;0,301627034;0,206508135
TrichiPattz;Monologista;2;1,134210526;2;0,136094675;0,565552699;0,215938303;3,442477876;0,323907455;0,082262211;0,035989717
Nahikariii;Monologista;6;1,127906977;2;0,216216216;0,177074423;0,525235244;1,616874136;0,195038494;0,172797263;0,153977759
irenuchi;Retuiteador;3;1,125714286;2;0,276785714;0,719298246;0,102756892;3,660550459;0,110275689;0,223057644;0,253132832
montse_cervera;Networker;4;1,125175809;2;0,396551724;0,418546366;0,230576441;1,5;0,117794486;0,448621554;0,268170426
fontcuberta;Networker;6;1,121591747;3;0,393678161;0,252148997;0,308739255;1,907103825;0,040114613;0,539398281;0,482808023
Pilarhrod;Networker;4;1,111801242;2;0,449101796;0,197115385;0,134615385;1,475177305;0,100961538;0,461538462;1,043269231
esthermoralesp;Networker;5;1,07980653;2;0,668141593;0,504023409;0,072421361;2,226384365;0,144842721;0,432333577;0,692026335
CrisBarreiro_;Networker;10;1,069338422;3;0,579964851;0,516567545;0,316907392;3,198369565;0,127442651;0,276125743;0,395497026
mgallardove;Monologista;3;1,065789474;1;0,085918854;0,184824903;0,282101167;2,41314554;0,282101167;0,147859922;0,149805447
laran_larita;Normal;6;1,057377049;2;0,394904459;0,475501114;0,188195991;2,107981221;0,30623608;0,169265033;0,437639198
inari_ta;Networker;9;1,056590258;3;0,563469271;0,46381275;0,229134586;2,560725552;0,078534031;0,396365876;0,354173083
nievesborrero;Retuiteador;9;1,055045872;2;1,139671362;0,612198452;0,182066454;3,595744681;0,207100592;0,288120164;0,621756941
amaiac;Monologista;5;1,044235925;2;0,186930091;0,529664046;0,245175125;2,106927711;0,043602573;0,300571837;0,233738385
nagema25;Networker;3;1,034042553;2;0,794871795;0,551724138;0,045977011;1,318181818;0,264367816;0,459770115;0,75862069
GMDsgn;Monologista;5;1,031413613;2;0,202739726;0,547146402;0,068858561;2,702430847;0,147332506;0,691377171;0,740694789
p_alaman;Networker;4;1,028846154;2;0,728643216;0,313793103;0,044827586;1,657142857;0,065517241;0,706896552;1,9
vrandgo;Monologista;2;1,028436019;2;0,019455253;0,000555556;0;3,726708075;0,423333333;1;0,000555556
monica_teamTM;Monologista;1;1,028103045;2;0,009090909;0,447236181;0,216080402;3,618181818;0,035175879;0,361809045;0,165829146
iusTo;Networker;6;1,027667984;2;0,334378265;0,329831933;0,328431373;1,463114754;0,279411765;0,203081232;0,397759104
anaRB;Normal;8;1,026490066;2;0,55126183;0,599368088;0,163033175;2,181254307;0,204423381;0,364612954;0,359557662
alipeji;Networker;8;1,021489971;2;1,064777328;0,586264657;0,227805695;1,720461095;0,139028476;0,284757119;0,450586265
tsalazargr;Replicador;23;1,019677094;3;1,96599796;0,097298956;0,627992634;6,815899582;0,152854512;0,355125844;0,051258441
