Id,Label,timeset,net,relation,num_followers,num_following,num_list,num_statuses,join_date varchar,componentnumber,modularity_class,indegree,outdegree,degree
353,ConsuladoEspMel,,dalvarez37,1408835183260864521,3,2,4,2,2013-07-10 01:31:57,0,2,111,26,137
354,EmbajadaEspGTA,,dalvarez37,1408835183260864521,3,2,3,1,2013-07-09 18:50:53,0,2,118,169,287
355,patrullaguila,,dalvarez37,1408835183260864521,4,1,3,2,2013-07-08 12:18:13,0,0,30,4,34
356,EmbEspanaLibano,,dalvarez37,1408835183260864521,3,2,3,2,2013-07-01 09:28:27,0,2,124,132,256
357,EmbEspIrlanda,,dalvarez37,1408835183260864521,3,2,3,0,2013-06-28 10:30:26,0,2,124,153,277
358,ConsEspQuito,,dalvarez37,1408835183260864521,4,2,3,1,2013-06-21 18:58:24,0,2,103,59,162
359,EmbEspEstocolmo,,dalvarez37,1408835183260864521,3,3,3,0,2013-06-17 10:21:52,0,2,137,215,352
360,IFICorpuscular,,dalvarez37,1408835183260864521,3,2,3,2,2013-06-16 09:03:55,0,1,53,46,99
361,EmbSpainJamaica,,dalvarez37,1408835183260864521,3,3,3,1,2013-06-11 17:50:01,0,2,115,186,301
362,DIPCehu,,dalvarez37,1408835183260864521,3,2,3,1,2013-06-05 17:15:53,0,1,22,27,49
363,NanoCINN,,dalvarez37,1408835183260864521,3,1,2,1,2013-06-04 14:44:00,0,1,32,8,40
364,EmbajadaEspRiga,,dalvarez37,1408835183260864521,3,2,4,0,2013-05-31 12:39:47,0,2,115,129,244
365,EmbEspNicosia,,dalvarez37,1408835183260864521,3,2,3,1,2013-05-30 12:39:43,0,2,116,96,212
366,CgEspDusseldorf,,dalvarez37,1408835183260864521,3,2,4,2,2013-05-29 10:23:33,0,2,105,143,248
367,ITQ_UPVCSIC,,dalvarez37,1408835183260864521,3,2,3,1,2013-05-26 08:31:44,0,1,67,82,149
368,CTEspectaculo,,dalvarez37,1408835183260864521,3,2,2,1,2013-05-09 11:04:52,0,3,11,15,26
369,ENAIRE,,dalvarez37,1408835183260864521,4,2,4,2,2013-04-25 14:14:13,0,0,58,55,113
370,EmbEspHungria,,dalvarez37,1408835183260864521,3,2,3,1,2013-04-15 13:42:00,0,2,117,122,239
371,ceabcsic,,dalvarez37,1408835183260864521,3,2,3,2,2013-04-08 12:56:51,0,1,68,74,142
372,enisa,,dalvarez37,1408835183260864521,4,3,4,2,2013-03-13 12:35:35,0,0,28,26,54
373,SpainInTheUSA,,dalvarez37,1408835183260864521,4,3,4,2,2013-03-12 20:29:30,0,2,173,191,364
374,ICBordeaux,,dalvarez37,1408835183260864521,3,2,3,1,2013-03-12 11:48:10,0,3,56,73,129
375,AEMET_Canarias,,dalvarez37,1408835183260864521,5,2,4,2,2013-02-27 17:15:44,0,0,27,11,38
376,UeEspana,,dalvarez37,1408835183260864521,4,2,3,2,2013-02-26 14:29:42,0,0,164,63,227
377,IBECBarcelona,,dalvarez37,1408835183260864521,3,2,3,2,2013-02-25 15:46:22,0,1,49,28,77
378,AEMET_CValencia,,dalvarez37,1408835183260864521,4,1,4,2,2013-02-19 10:01:21,0,0,25,32,57
379,ICNapoles,,dalvarez37,1408835183260864521,3,2,3,1,2013-02-14 13:02:02,0,3,59,68,127
380,AEPSAD,,dalvarez37,1408835183260864521,3,2,4,2,2013-02-07 18:23:56,0,0,8,9,17
381,DGobAndalucia,,dalvarez37,1408835183260864521,4,2,4,2,2013-02-01 08:58:25,0,0,63,88,151
382,educaSGCTIE,,dalvarez37,1408835183260864521,4,1,4,3,2013-01-30 13:23:30,0,3,42,21,63
383,ConsEscoEstado,,dalvarez37,1408835183260864521,3,2,2,1,2013-01-28 12:33:12,0,3,8,17,25
384,AEMET_Cat,,dalvarez37,1408835183260864521,4,2,4,2,2013-01-28 08:47:24,0,0,26,37,63
385,CH_Guadiana,,dalvarez37,1408835183260864521,3,2,3,1,2013-01-22 13:25:59,0,0,25,28,53
386,AEMET_Aragon,,dalvarez37,1408835183260864521,4,3,4,2,2013-01-18 05:49:49,0,0,24,36,60
387,AEMET_Galicia,,dalvarez37,1408835183260864521,4,2,4,2,2013-01-17 16:49:28,0,0,27,37,64
388,AEMET_Murcia,,dalvarez37,1408835183260864521,4,2,4,2,2013-01-17 16:25:32,0,0,27,41,68
389,PuertosEstado,,dalvarez37,1408835183260864521,4,3,4,2,2013-01-16 17:31:05,0,0,77,83,160
390,AEMET_CLaMancha,,dalvarez37,1408835183260864521,4,3,4,2,2013-01-16 15:41:51,0,0,26,80,106
391,AEMET_Asturias,,dalvarez37,1408835183260864521,4,2,4,2,2013-01-14 22:20:54,0,0,23,42,65
392,AEMET_Navarra,,dalvarez37,1408835183260864521,3,3,4,2,2013-01-13 23:21:18,0,0,23,41,64
393,AEMET_Madrid,,dalvarez37,1408835183260864521,4,2,4,2,2013-01-11 09:53:58,0,0,26,49,75
394,AEMET_PaisVasco,,dalvarez37,1408835183260864521,4,2,4,2,2013-01-10 11:48:17,0,0,23,18,41
395,AEMET_CyL,,dalvarez37,1408835183260864521,4,2,4,2,2013-01-09 16:12:38,0,0,24,26,50
396,AEMET_Esp,,dalvarez37,1408835183260864521,5,2,4,3,2013-01-04 12:56:17,0,0,117,65,182
397,AEMET_Ext,,dalvarez37,1408835183260864521,3,2,4,1,2012-12-20 08:41:35,0,0,25,44,69
398,educaINEE,,dalvarez37,1408835183260864521,4,3,4,3,2012-12-14 08:48:52,0,3,23,18,41
399,info_TGSS,,dalvarez37,1408835183260864521,4,1,4,2,2012-12-11 11:18:02,0,0,44,24,68
400,IC_Leeds,,dalvarez37,1408835183260864521,3,3,3,1,2012-12-05 17:28:28,0,3,62,97,159
401,ieo_baleares,,dalvarez37,1408835183260864521,3,3,4,2,2012-12-03 11:12:08,0,1,38,36,74
402,IC_Milan,,dalvarez37,1408835183260864521,3,2,3,1,2012-12-03 08:13:47,0,3,60,65,125
403,IIIACSIC,,dalvarez37,1408835183260864521,3,2,3,1,2012-11-28 16:19:18,0,1,35,20,55
404,AEMET_Baleares,,dalvarez37,1408835183260864521,4,2,4,2,2012-11-27 13:39:23,0,0,26,20,46
405,IQTCUB,,dalvarez37,1408835183260864521,2,2,2,1,2012-11-20 10:53:26,0,1,18,26,44
406,AEMET_Andalucia,,dalvarez37,1408835183260864521,4,2,4,2,2012-11-19 22:46:02,0,0,27,37,64
407,IncipitCSIC,,dalvarez37,1408835183260864521,3,2,3,1,2012-11-16 14:13:42,0,1,44,118,162
408,AEMET_Cantabria,,dalvarez37,1408835183260864521,3,2,3,2,2012-11-10 22:20:16,0,0,25,35,60
409,BC3Research,,dalvarez37,1408835183260864521,3,2,3,2,2012-11-08 20:49:59,0,1,31,17,48
410,AEMET_LaRioja,,dalvarez37,1408835183260864521,3,1,3,1,2012-11-07 12:56:22,0,0,22,15,37
411,EnvejecerCSIC,,dalvarez37,1408835183260864521,3,3,4,2,2012-11-06 14:19:06,0,1,29,28,57
412,i3mupv,,dalvarez37,1408835183260864521,1,0,0,0,2012-11-06 11:03:32,0,1,1,0,1
413,ift_uam_csic,,dalvarez37,1408835183260864521,4,2,3,2,2012-10-24 14:18:45,0,1,64,38,102
414,ebdonana,,dalvarez37,1408835183260864521,3,2,3,1,2012-10-17 10:39:23,0,1,42,29,71
415,COFIDES,,dalvarez37,1408835183260864521,3,3,4,2,2012-10-15 16:07:54,0,2,44,55,99
