DATAFLOW,LAST UPDATE,freq,age,sex,indic_il,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,EL,2017,7543,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,EL,2018,7781,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,EL,2019,8096,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,EL,2020,8635,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,ES,2010,14450,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,ES,2011,13699,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,ES,2012,13695,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,ES,2013,13444,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,ES,2014,13091,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,ES,2015,13249,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,ES,2016,13490,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,ES,2017,13948,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,ES,2018,14492,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,ES,2019,14783,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,ES,2020,15804,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,FI,2010,20854,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,FI,2011,21336,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,FI,2012,22196,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,FI,2013,22791,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,FI,2014,23150,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,FI,2015,23375,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,FI,2016,23225,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,FI,2017,23606,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,FI,2018,24012,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,FI,2019,24320,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,FI,2020,24873,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,FR,2010,19597,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,FR,2011,19683,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,FR,2012,20292,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,FR,2013,20619,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,FR,2014,20875,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,FR,2015,21137,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,FR,2016,21416,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,FR,2017,21757,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,FR,2018,21975,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,FR,2019,22286,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,FR,2020,21407,b
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,HR,2010,5723,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,HR,2011,5477,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,HR,2012,5303,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,HR,2013,4982,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,HR,2014,5070,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,HR,2015,5349,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,HR,2016,5569,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,HR,2017,6068,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,HR,2018,6545,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,HR,2019,7203,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,HR,2020,7765,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,HU,2010,4194,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,HU,2011,4417,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,HU,2012,4606,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,HU,2013,4393,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,HU,2014,4450,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,HU,2015,4524,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,HU,2016,4722,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,HU,2017,4881,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,HU,2018,5323,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,HU,2019,5737,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,HU,2020,6353,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,IE,2010,20034,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,IE,2011,19077,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,IE,2012,19383,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,IE,2013,19561,
