close,date
1115779221182459907,Wed Apr 10 00:51:11 +0000 2019
265205082,Sun Mar 13 05:19:42 +0000 2011
1183069970504269825,Sat Oct 12 17:20:43 +0000 2019
1167241640018423808,Fri Aug 30 01:05:20 +0000 2019
182809592,Wed Aug 25 13:06:37 +0000 2010
522230446,Mon Mar 12 13:00:48 +0000 2012
244238068,Fri Jan 28 21:20:05 +0000 2011
1573839590,Sat Jul 06 23:06:08 +0000 2013
14246806,Fri Mar 28 20:41:52 +0000 2008
84601574,Fri Oct 23 14:18:16 +0000 2009
42524081,Tue May 26 00:32:22 +0000 2009
3260227465,Mon Jun 29 18:32:26 +0000 2015
989641457664487426,Thu Apr 26 23:04:44 +0000 2018
79782225,Sun Oct 04 17:31:22 +0000 2009
160324335,Sun Jun 27 21:33:02 +0000 2010
280600367,Mon Apr 11 17:14:25 +0000 2011
140566197,Wed May 05 20:58:43 +0000 2010
55286938,Thu Jul 09 16:41:43 +0000 2009
94763792,Sat Dec 05 09:48:20 +0000 2009
1193945505853652992,Mon Nov 11 17:37:14 +0000 2019
131558399,Sat Apr 10 16:47:19 +0000 2010
56420265,Mon Jul 13 16:37:34 +0000 2009
36479752,Wed Apr 29 21:00:36 +0000 2009
6417982,Tue May 29 15:36:42 +0000 2007
2413244948,Wed Mar 26 22:16:11 +0000 2014
201079922,Mon Oct 11 01:16:02 +0000 2010
1124335654555521026,Fri May 03 15:31:23 +0000 2019
1180832095,Fri Feb 15 01:51:52 +0000 2013
1197329941215502336,Thu Nov 21 01:44:49 +0000 2019
360223458,Mon Aug 22 21:55:40 +0000 2011
157850550,Mon Jun 21 02:27:35 +0000 2010
1159516320251228165,Thu Aug 08 17:26:48 +0000 2019
16799019,Thu Oct 16 01:25:22 +0000 2008
180861689,Fri Aug 20 17:45:39 +0000 2010
74017213,Mon Sep 14 00:43:23 +0000 2009
782866,Tue Feb 20 11:39:12 +0000 2007
6964542,Wed Jun 20 12:28:32 +0000 2007
288970628,Wed Apr 27 19:43:16 +0000 2011
21121421,Tue Feb 17 19:36:57 +0000 2009
2266008547,Sat Dec 28 14:46:42 +0000 2013
36689324,Thu Apr 30 15:31:05 +0000 2009
1067916151789899776,Wed Nov 28 23:00:26 +0000 2018
709517855193243652,Mon Mar 14 23:13:33 +0000 2016
709412893557710848,Mon Mar 14 16:16:28 +0000 2016
2924577020,Tue Dec 09 21:26:36 +0000 2014
29851076,Wed Apr 08 23:14:10 +0000 2009
223177089,Sun Dec 05 16:41:26 +0000 2010
