Advertiser Name,Funding Entity,Creative,Start date,End Date,Provincia,Targeted Segments,Excluded Targeting Segments,Impressions,Reach,Facts And Circumstances Of Removal,Enforcement Action,Statement Of Reason
"Mercadona","-",https://x.com/Mercadona/status/1742463305858338907,2024-01-03T00:00:00Z,2024-01-05T00:00:00Z,N/A,"Spain","",1634529,1242455,N/A,N/A,N/A
"Mercadona","Mercadona SA",https://x.com/Mercadona/status/1704805170201378831,2023-09-21T00:00:00Z,2023-09-22T00:00:00Z,N/A,"Spain","",280328,254218,N/A,N/A,N/A
"Mercadona","Mercadona SA",https://x.com/Mercadona/status/1698601650619875660,2023-09-04T00:00:00Z,2023-09-11T00:00:00Z,Teruel,"Calanda, ES,Maella, ES,Valdeltormo, ES,Mazaleón, ES,Alcorisa, ES,Caspe, ES,Híjar, ES,La Fresneda, ES,Castelserás, ES,Andorra, ES,Alcañiz, ES,Valjunquera, ES,Torrecilla de Alcañiz, ES","",4807,2734,N/A,N/A,N/A
"Mercadona","Mercadona SA",https://x.com/Mercadona/status/1707658971643826207,2023-09-29T00:00:00Z,2023-10-02T00:00:00Z,N/A,"Spain","",485987,381107,N/A,N/A,N/A
"Mercadona","Mercadona SA",https://x.com/Mercadona/status/1762397284111692008,2024-02-27T00:00:00Z,2024-02-29T00:00:00Z,N/A,"Spain","",1959318,916829,N/A,N/A,N/A
"Mercadona","Mercadona SA",https://x.com/Mercadona/status/1715314414994288776,2023-10-20T00:00:00Z,2023-10-21T00:00:00Z,N/A,"Spain","",399459,372474,N/A,N/A,N/A
"Mercadona","Mercadona SA",https://x.com/Mercadona/status/1715269118151045375,2023-10-20T00:00:00Z,2023-10-21T00:00:00Z,N/A,"Spain","",278441,253653,N/A,N/A,N/A
"Mercadona","Mercadona SA",https://x.com/Mercadona/status/1701860766511440185,2023-09-13T00:00:00Z,2023-09-14T00:00:00Z,N/A,"Spain","",274455,244714,N/A,N/A,N/A
"Mercadona","Mercadona SA",https://x.com/Mercadona/status/1760220314733293969,2024-02-21T00:00:00Z,2024-02-22T00:00:00Z,N/A,"Spain","",843709,354943,N/A,N/A,N/A
"Mercadona","Mercadona SA",https://x.com/Mercadona/status/1704102238493249919,N/A,N/A,Guipúzcoa,"Urretxu, ES,Beasain, ES,Hernani, ES,Zarautz, ES,Andoain, ES,Donostia-San Sebastián, ES,Irun / Irún, ES,Azpeitia, ES,Tolosa, ES,Zumaia, ES,Azkoitia, ES","",30582,18492,N/A,N/A,N/A
